Year,Month,Stn_Name,Prov,Tm,S,P
1917,1,COWICHAN,BC,1.3,54.6,114.7
1917,1,COWICHAN BAY CHERRY POINT,BC,1.3,24.1,87.7
1917,1,JAMES ISLAND,BC,3.3,25.3,95.8
1917,1,METCHOSIN,BC,2.2,46.9,156.4
1917,1,MILNES LANDING,BC,2.4,16.5,127.8
1917,1,SAANICHTON CDA,BC,2.0,41.7,102.2
1917,1,SALTSPRING ISLAND,BC,2.0,41.5,104.5
1917,1,SAANICH DOM ASTRO OBS,BC,1.3,58.4,111.6
1917,1,SHAWNIGAN LAKE,BC,0.2,35.5,76.3
1917,1,VICTORIA GONZALES HTS,BC,3.3,47.3,112.2
1917,1,ALERT BAY,BC,3.2,40.6,186.0
1917,1,ENTRANCE ISLAND,BC,3.3,30.4,98.0
1917,1,LADYSMITH,BC,0.8,30.8,95.8
1917,1,LAZO,BC,0.1,47.0,108.1
1917,1,NANAIMO,BC,2.4,29.3,91.4
1917,1,NANAIMO DEPARTURE BAY,BC,2.0,25.1,91.0
1917,1,QUALICUM BEACH,BC,1.4,6.1,44.3
1917,1,VANANDA,BC,1.5,20.0,75.8
1917,1,ALBERNI BEAVER CREEK,BC,0.5,63.4,136.1
1917,1,CLAYOQUOT,BC,2.6,40.6,260.4
1917,1,HOLBERG,BC,1.8,62.5,386.2
1917,1,QUATSINO,BC,2.5,29.1,258.6
1917,1,TRIANGLE ISLAND,BC,2.7,10.1,177.9
1917,1,UCLUELET,BC,2.1,14.3,239.5
1917,1,BRITANNIA BEACH FURRY CR,BC,-0.9,15.6,165.5
1917,1,IKEDA BAY,BC,1.4,25.4,77.1
1917,1,MASSET AIRPORT,BC,0.6,48.3,128.4
1917,1,ANYOX,BC,-5.1,166.9,242.3
1917,1,BELLA COOLA,BC,-2.5,36.4,125.5
1917,1,MILL BAY,BC,-4.4,97.7,265.8
1917,1,PRINCE RUPERT,BC,-0.6,38.8,259.0
1917,1,STEWART,BC,-6.1,245.1,354.3
1917,1,TERRACE,BC,-5.9,46.9,150.4
1917,1,BABINE LAKE FISHERIES,BC,-14.1,22.2,22.5
1917,1,NEW HAZELTON,BC,-12.1,22.1,23.4
1917,1,BIG CREEK,BC,-9.9,12.7,12.7
1917,1,KLEENA KLEENE,BC,-9.8,8.4,9.7
1917,1,PEMBERTON MEADOWS,BC,-6.1,57.2,66.7
1917,1,BARKERVILLE,BC,-10.5,236.3,236.3
1917,1,FORT ST JAMES,BC,-14.3,32.6,36.9
1917,1,PRINCE GEORGE,BC,-12.9,35.8,35.8
1917,1,QUESNEL,BC,-12.1,50.7,54.2
1917,1,VANDERHOOF,BC,-16.0,45.9,78.5
1917,1,AGASSIZ CDA,BC,0.3,82.6,256.5
1917,1,CHILLIWACK,BC,0.2,48.3,231.1
1917,1,LADNER,BC,2.4,5.1,61.0
1917,1,NEW WESTMINSTER,BC,0.5,51.1,245.0
1917,1,NORTH NICOMEN,BC,0.7,74.2,258.1
1917,1,STAVE FALLS,BC,0.1,31.7,285.2
1917,1,STEVESTON,BC,1.6,19.1,86.3
1917,1,VANCOUVER PMO,BC,1.2,51.6,237.8
1917,1,HOPE LITTLE MOUNTAIN,BC,-1.2,53.4,177.4
1917,1,PEMBERTON HATCHERY,BC,-4.3,33.5,60.2
1917,1,GLENEMMA,BC,-4.2,69.9,82.7
1917,1,HEDLEY,BC,-7.3,36.5,36.5
1917,1,HEDLEY NP MINE,BC,-10.1,66.0,66.0
1917,1,KELOWNA,BC,-4.3,11.7,12.0
1917,1,KELOWNA BANKHEAD,BC,-4.5,11.8,11.8
1917,1,NICOLA LAKE,BC,-6.2,3.8,3.8
1917,1,PENTICTON,BC,-4.0,7.3,8.6
1917,1,PRINCETON,BC,-8.6,16.8,17.3
1917,1,SUMMERLAND,BC,-6.7,8.2,8.2
1917,1,SUMMERLAND CDA,BC,-4.8,5.2,8.8
1917,1,VERNON COLDSTREAM RANCH,BC,-7.9,25.2,28.2
1917,1,WOODS LAKE,BC,-4.6,17.0,17.0
1917,1,GRAND FORKS RAYFIELD,BC,-8.6,51.3,51.3
1917,1,GREENWOOD,BC,-7.7,54.6,54.6
1917,1,BOSWELL,BC,-2.6,38.7,55.3
1917,1,CASTLEGAR,BC,-5.6,50.9,62.9
1917,1,CRAWFORD BAY,BC,-4.1,84.8,92.0
1917,1,CRESTON,BC,-5.1,14.8,19.4
1917,1,FAUQUIER,BC,-4.4,32.3,32.3
1917,1,KASLO,BC,-4.7,43.1,43.1
1917,1,NAKUSP,BC,-5.9,83.6,84.6
1917,1,NELSON,BC,-4.9,45.6,45.6
1917,1,PERRY SIDING,BC,-6.2,46.9,46.9
1917,1,ROSSLAND CITY YARD,BC,-6.9,65.4,65.4
1917,1,WANETA,BC,-6.6,63.4,63.4
1917,1,WILMER,BC,-9.9,13.1,13.1
1917,1,CRANBROOK,BC,-8.0,15.2,15.2
1917,1,FERNIE,BC,-8.5,55.9,69.8
1917,1,INVERMERE,BC,-10.9,4.0,4.0
1917,1,NEWGATE,BC,-16.0,25.4,25.4
1917,1,ARMSTRONG,BC,-7.5,44.8,47.8
1917,1,CHINOOK COVE,BC,-9.8,59.3,68.4
1917,1,ENDERBY,BC,-7.8,61.8,68.1
1917,1,KAMLOOPS,BC,-8.2,20.8,21.8
1917,1,SALMON ARM,BC,-8.0,92.3,92.3
1917,1,TAPPEN,BC,-5.5,56.1,61.2
1917,1,TRANQUILLE,BC,-7.5,30.3,30.3
1917,1,VAVENBY,BC,-11.7,85.0,85.0
1917,1,GLACIER,BC,-10.2,356.9,356.9
1917,1,REVELSTOKE,BC,-7.1,123.3,130.4
1917,1,VALEMOUNT,BC,-12.7,23.3,23.8
1917,1,FORT ST JOHN,BC,-20.5,35.6,35.6
1917,1,HUDSON HOPE,BC,-18.1,21.6,21.6
1917,1,ATLIN,BC,-16.7,35.0,35.0
1917,1,CARCROSS,YT,-18.0,17.8,17.8
1917,1,DAWSON,YT,-31.5,12.7,12.7
1917,1,FORT GOOD HOPE 2,NT,-32.7,8.3,8.3
1917,1,FORT MCPHERSON,NT,-30.4,10.1,10.1
1917,1,TULITA A,NT,-29.3,12.1,12.1
1917,1,FORT SIMPSON,NT,-30.9,21.3,21.3
1917,1,HAY RIVER,NT,-28.7,13.5,13.5
1917,1,ALLIANCE,AB,-17.3,0.0,0.0
1917,1,CALMAR,AB,-15.6,19.6,19.6
1917,1,EDMONTON,AB,-15.7,47.5,48.0
1917,1,ELK POINT,AB,-20.9,30.0,30.0
1917,1,HALKIRK,AB,-18.7,11.7,13.5
1917,1,HARDISTY,AB,-16.5,25.4,32.3
1917,1,RANFURLY,AB,-18.9,37.1,38.9
1917,1,ROCKY MOUNTAIN HOUSE,AB,-18.9,40.5,40.5
1917,1,SION,AB,-18.3,53.7,53.7
1917,1,VERMILION,AB,-20.3,35.7,36.2
1917,1,DAYSLAND,AB,-16.8,60.5,61.3
1917,1,ALIX,AB,-15.4,40.2,42.0
1917,1,DIDSBURY,AB,-11.8,12.7,12.7
1917,1,HARMATTAN,AB,-14.0,10.1,10.1
1917,1,HILLSDOWN,AB,-13.8,37.9,38.7
1917,1,JENNER,AB,-15.0,10.1,10.1
1917,1,LACOMBE CDA,AB,-14.5,19.1,19.1
1917,1,OLDS,AB,-10.9,15.3,15.3
1917,1,RED DEER,AB,-15.2,21.1,21.1
1917,1,SPRINGDALE,AB,-16.1,34.3,34.3
1917,1,BASSANO DAM,AB,-13.7,6.3,6.3
1917,1,BASSANO GEM,AB,-15.4,18.9,18.9
1917,1,CALGARY INT'L A,AB,-10.4,8.6,8.6
1917,1,CARWAY,AB,-10.8,53.3,53.3
1917,1,CLARESHOLM EXP FARM,AB,-11.2,5.8,5.8
1917,1,FORT MACLEOD,AB,-9.1,32.9,32.9
1917,1,GLEICHEN,AB,-13.7,5.1,5.1
1917,1,LETHBRIDGE CDA,AB,-10.4,10.9,10.9
1917,1,MEDICINE HAT A,AB,-11.7,13.4,18.5
1917,1,OKOTOKS,AB,-12.3,6.3,6.3
1917,1,PINCHER CREEK TOWN,AB,-8.8,20.1,20.1
1917,1,RONALANE,AB,-12.8,3.1,7.2
1917,1,SUFFIELD,AB,-14.2,5.1,5.1
1917,1,VAUXHALL,AB,-13.3,15.2,15.2
1917,1,BANFF,AB,-11.4,18.3,18.3
1917,1,JASPER,AB,-15.9,7.6,7.9
1917,1,LUNDBRECK,AB,-11.9,23.5,23.5
1917,1,NORDEGG,AB,-11.7,19.1,19.1
1917,1,PEKISKO,AB,-11.7,17.8,17.8
1917,1,ATHABASCA LANDING,AB,-20.7,26.4,26.4
1917,1,CAMPSIE,AB,-17.1,32.1,32.1
1917,1,EDSON,AB,-15.4,43.1,43.1
1917,1,FT MCMURRAY,AB,-25.3,0.0,0.0
1917,1,BEAVERLODGE CDA,AB,-16.6,63.4,63.4
1917,1,DUNVEGAN,AB,-21.5,47.0,47.0
1917,1,FORT CHIPEWYAN,AB,-29.2,42.7,42.7
1917,1,FORT VERMILION CDA,AB,-27.8,11.7,11.7
1917,1,WABASCA,AB,-20.3,28.7,28.7
1917,1,CARON,SK,-17.4,25.5,25.5
1917,1,CRESCENT LAKE,SK,-23.5,38.3,38.3
1917,1,ESTEVAN,SK,-18.4,5.1,5.1
1917,1,FORT QU'APPELLE,SK,-21.6,60.1,60.1
1917,1,GRENFELL,SK,-20.9,30.4,30.4
1917,1,HUBBARD,SK,-24.0,50.8,50.8
1917,1,HUMBOLDT,SK,-24.2,17.0,17.0
1917,1,IMPERIAL,SK,-20.3,11.4,11.4
1917,1,INDIAN HEAD CDA,SK,-21.7,36.8,36.8
1917,1,MOOSE JAW CHAB,SK,-17.5,32.1,32.1
1917,1,MUENSTER,SK,-23.4,7.7,7.7
1917,1,QU'APPELLE,SK,-20.1,54.4,54.4
1917,1,REGINA A,SK,-20.0,27.8,27.8
1917,1,WHITEWOOD,SK,-21.6,31.8,31.8
1917,1,ASSINIBOIA,SK,-15.2,12.7,12.7
1917,1,CHAPLIN,SK,-23.0,9.7,9.7
1917,1,KLINTONEL,SK,-15.5,38.4,38.4
1917,1,SWIFT CURRENT,SK,-15.2,28.5,28.5
1917,1,WAPASHOE,SK,-15.4,15.2,15.2
1917,1,WILLOW CREEK,SK,-15.1,17.5,17.5
1917,1,ANGLIA,SK,-19.4,22.9,22.9
1917,1,BATTLEFORD,SK,-20.0,27.2,27.2
1917,1,LLOYDMINSTER,SK,-18.5,0.0,0.0
1917,1,LUSELAND,SK,-18.9,20.3,20.3
1917,1,ONION LAKE,SK,-21.0,0.0,0.0
1917,1,PRINCE,SK,-22.5,10.7,10.7
1917,1,ST WALBURG,SK,-22.8,38.5,38.5
1917,1,SCOTT CDA,SK,-19.8,15.2,15.2
1917,1,WASECA,SK,-19.7,43.2,43.2
1917,1,HALCYONIA,SK,-16.8,17.7,17.7
1917,1,MACDOWALL,SK,-23.9,12.9,12.9
1917,1,MELFORT,SK,-23.8,28.0,28.0
1917,1,OUTLOOK,SK,-19.8,49.6,49.6
1917,1,PILGER,SK,-24.1,19.8,19.8
1917,1,PRINCE ALBERT,SK,-23.1,29.3,29.3
1917,1,ROSTHERN,SK,-22.9,24.0,24.0
1917,1,SASKATOON A,SK,-21.2,33.0,33.0
1917,1,SASKATOON U OF S,SK,-21.7,7.2,7.2
1917,1,BIRTLE,MB,-24.4,19.9,19.9
1917,1,BRANDON CDA,MB,-23.2,45.6,45.6
1917,1,HAMIOTA,MB,-23.7,20.9,20.9
1917,1,HILLVIEW,MB,-23.3,63.5,63.5
1917,1,MINNEDOSA,MB,-22.4,56.3,56.3
1917,1,ST ALBANS,MB,-21.6,46.4,46.4
1917,1,SOURIS,MB,-21.7,71.1,71.1
1917,1,SWAN LAKE,MB,-21.8,35.5,35.5
1917,1,TREHERNE,MB,-21.0,26.9,26.9
1917,1,ALMASIPPI,MB,-22.4,26.6,26.6
1917,1,MORDEN,MB,-20.6,25.5,25.5
1917,1,MORRIS,MB,-23.2,16.4,16.4
1917,1,NINETTE,MB,-21.5,27.8,27.8
1917,1,NINGA,MB,-21.5,0.0,0.0
1917,1,OAKBANK,MB,-23.5,50.7,50.7
1917,1,SPRAGUE,MB,-23.8,17.7,17.7
1917,1,STONY MOUNTAIN,MB,-23.9,28.0,28.0
1917,1,WINNIPEG ST JOHNS COLL,MB,-22.2,28.0,28.0
1917,1,BERENS RIVER,MB,-26.4,28.0,28.0
1917,1,INDIAN BAY,MB,-22.9,11.6,11.6
1917,1,PINAWA,MB,-24.6,30.8,30.8
1917,1,DAUPHIN,MB,-21.1,80.0,80.0
1917,1,MOOSEHORN,MB,-24.6,61.4,61.4
1917,1,THE PAS,MB,-26.1,9.0,9.0
1917,1,PORT NELSON,MB,-30.3,3.9,3.9
1917,1,FORT FRANCES,ON,-18.2,10.0,10.0
1917,1,MINE CENTRE,ON,-21.9,18.0,18.0
1917,1,DRYDEN,ON,-24.6,28.6,28.6
1917,1,IGNACE,ON,-23.0,63.5,63.5
1917,1,KENORA,ON,-22.4,36.8,36.8
1917,1,SIOUX LOOKOUT,ON,-26.6,33.7,33.7
1917,1,HERON BAY,ON,-21.4,111.7,111.7
1917,1,KAKABEKA FALLS,ON,-20.7,26.7,26.7
1917,1,PORT ARTHUR,ON,-16.7,8.4,8.4
1917,1,QUORN,ON,-24.1,38.1,38.1
1917,1,SAVANNE,ON,-24.2,27.9,27.9
1917,1,SCHREIBER,ON,-16.6,60.9,60.9
1917,1,WHITE RIVER,ON,-20.5,24.6,24.6
1917,1,BISCOTASING,ON,-17.1,26.7,26.7
1917,1,CHAPLEAU 2,ON,-17.7,38.1,38.1
1917,1,RUEL,ON,-13.9,35.6,35.6
1917,1,TURBINE,ON,-13.5,24.1,24.1
1917,1,COCHRANE,ON,-20.0,15.1,15.1
1917,1,HAILEYBURY,ON,-16.3,40.1,40.1
1917,1,IROQUOIS FALLS,ON,-22.6,7.2,7.2
1917,1,MONTREAL RIVER,ON,-16.3,53.5,53.5
1917,1,MOOSE FACTORY,ON,-23.4,8.9,8.9
1917,1,WAWAITIN,ON,-20.0,31.5,31.5
1917,1,MADAWASKA,ON,-13.7,116.8,116.8
1917,1,NORTH BAY,ON,-13.5,69.9,69.9
1917,1,RUTHERGLEN,ON,-14.7,95.9,95.9
1917,1,STURGEON FALLS,ON,-14.4,33.0,33.0
1917,1,GORE BAY,ON,-8.1,57.2,57.2
1917,1,ALMONTE,ON,-13.3,74.6,74.6
1917,1,BROCKVILLE,ON,-9.8,27.9,50.8
1917,1,CLONTARF,ON,-12.2,69.8,69.8
1917,1,KINGSTON QUEENS U,ON,-8.1,35.2,74.3
1917,1,MORRISBURG,ON,-12.7,68.6,100.3
1917,1,OTTAWA,ON,-12.3,99.5,99.5
1917,1,OTTAWA CDA,ON,-12.6,100.7,103.5
1917,1,PEMBROKE EDDY MATCH,ON,-13.0,74.1,74.1
1917,1,RENFREW,ON,-13.3,59.9,59.9
1917,1,STONECLIFFE,ON,-12.6,53.3,53.6
1917,1,BARRIE,ON,-8.2,79.0,89.3
1917,1,BEATRICE,ON,-9.6,120.7,120.7
1917,1,BEETON,ON,-7.0,32.6,50.2
1917,1,COLDWATER,ON,-9.5,90.8,90.8
1917,1,COLLINGWOOD,ON,-7.9,58.6,58.9
1917,1,MEAFORD,ON,-7.5,103.8,106.6
1917,1,OWEN SOUND,ON,-6.8,72.9,72.9
1917,1,PARRY SOUND,ON,-9.8,116.8,116.8
1917,1,RONVILLE,ON,-12.2,66.1,66.1
1917,1,BRUCEFIELD,ON,-6.6,13.0,48.1
1917,1,GODERICH TOWNSHIP,ON,-4.8,44.5,56.2
1917,1,LUCKNOW,ON,-7.5,60.6,65.1
1917,1,SOUTHAMPTON,ON,-6.2,73.4,73.4
1917,1,TOBERMORY,ON,-6.9,78.6,78.6
1917,1,WALKERTON,ON,-6.9,51.3,61.0
1917,1,CHATHAM 2,ON,-5.9,53.3,64.7
1917,1,COTTAM,ON,-6.5,45.8,122.2
1917,1,DUTTON 2,ON,-6.5,20.2,62.4
1917,1,GRIMSBY,ON,-5.3,13.6,64.4
1917,1,GRIMSBY ROCK CHAPEL,ON,-6.7,35.6,79.8
1917,1,LEAMINGTON,ON,-5.3,25.5,61.6
1917,1,PELEE ISLAND,ON,-5.0,35.5,72.2
1917,1,PORT DOVER,ON,-7.5,95.1,126.4
1917,1,PORT STANLEY,ON,-6.1,42.6,80.6
1917,1,WALLACEBURG,ON,-6.9,26.2,48.9
1917,1,WELLAND,ON,-5.9,30.4,69.7
1917,1,WINDSOR RIVERSIDE,ON,-5.4,31.7,59.7
1917,1,ELORA,ON,-8.1,32.8,55.4
1917,1,GUELPH OAC,ON,-7.3,31.4,31.4
1917,1,LISTOWEL,ON,-8.2,61.0,86.4
1917,1,LONDON SOUTH,ON,-7.3,72.1,100.4
1917,1,LUCAN,ON,-7.3,101.5,115.4
1917,1,MOUNT FOREST,ON,-7.0,122.7,135.9
1917,1,PARIS,ON,-6.9,52.2,82.2
1917,1,STRATFORD,ON,-7.6,52.2,72.2
1917,1,WOODSTOCK,ON,-7.3,33.4,57.5
1917,1,ALTON,ON,-8.8,38.2,58.0
1917,1,AURORA,ON,-9.0,45.7,51.8
1917,1,BLOOMFIELD,ON,-7.6,40.6,73.7
1917,1,GEORGETOWN,ON,-7.3,38.3,62.6
1917,1,STONEY CREEK,ON,-5.5,28.0,59.1
1917,1,TORONTO,ON,-5.2,45.5,75.5
1917,1,TORONTO AGINCOURT,ON,-7.3,56.4,82.5
1917,1,UXBRIDGE,ON,-8.4,35.5,54.6
1917,1,WEXFORD,ON,-7.1,48.0,69.3
1917,1,KINMOUNT,ON,-12.7,73.5,73.5
1917,1,LAKEFIELD,ON,-10.6,12.1,38.1
1917,1,LINDSAY,ON,-9.8,36.5,58.9
1917,1,PETERBOROUGH,ON,-9.1,20.3,35.3
1917,1,QUEENSBORO,ON,-11.0,17.8,43.5
1917,1,CAP ROUGE,QC,-13.4,116.0,128.7
1917,1,JOLIETTE,QC,-14.8,73.0,73.0
1917,1,QUEBEC,QC,-13.5,119.6,124.1
1917,1,ST LIN DES LAURENTIDES,QC,-16.2,82.0,103.6
1917,1,SHAWINIGAN,QC,-17.7,94.9,94.9
1917,1,BEAUCEVILLE,QC,-13.9,127.1,128.4
1917,1,DISRAELI,QC,-14.5,88.8,97.9
1917,1,DRUMMONDVILLE,QC,-14.6,68.1,105.5
1917,1,LAKE MEGANTIC,QC,-12.6,93.9,93.9
1917,1,LAMBTON,QC,-11.4,109.9,109.9
1917,1,LENNOXVILLE,QC,-12.1,69.1,90.9
1917,1,MACDONALD COLLEGE,QC,-12.5,76.2,87.3
1917,1,MONTREAL MCGILL,QC,-11.2,102.2,130.7
1917,1,NICOLET,QC,-14.5,73.5,73.5
1917,1,SHERBROOKE,QC,-10.4,96.5,103.9
1917,1,SOREL,QC,-14.4,43.1,43.1
1917,1,BARK LAKE,QC,-15.2,77.2,77.2
1917,1,HUBERDEAU,QC,-13.5,50.0,50.0
1917,1,NOMININGUE,QC,-15.8,76.3,76.3
1917,1,HARRINGTON HARBOUR,QC,-14.0,58.3,68.9
1917,1,LA MALBAIE,QC,-15.3,55.9,55.9
1917,1,NATASHQUAN A,QC,-16.0,85.0,138.4
1917,1,ST FEREOL,QC,-16.7,155.0,155.5
1917,1,ANTICOSTI SW POINT,QC,-11.4,63.4,82.7
1917,1,ARMAGH,QC,-13.8,76.0,101.4
1917,1,GASPE,QC,-14.4,93.9,96.5
1917,1,LA POCATIERE CDA,QC,-13.0,78.9,78.9
1917,1,POINTE AU PERE,QC,-14.8,26.9,30.7
1917,1,MISTASSINI,QC,-20.9,72.7,72.7
1917,1,ROBERVAL NORD,QC,-20.5,27.7,27.7
1917,1,BARRAGE GOUIN,QC,-18.6,48.7,48.7
1917,1,LA TUQUE,QC,-17.7,57.3,57.3
1917,1,BARRAGE ANGLIERS,QC,-17.6,41.9,41.9
1917,1,BARRAGE TEMISCAMINGUE,QC,-17.7,64.6,64.6
1917,1,VILLE MARIE,QC,-15.8,157.4,157.4
1917,1,ABITIBI POST,QC,-19.6,22.9,22.9
1917,1,AMOS,QC,-20.6,41.8,41.8
1917,1,MISTASSINI POST,QC,-24.5,56.0,56.0
1917,1,CHATHAM,NB,-12.3,54.1,74.2
1917,1,FREDERICTON CDA,NB,-12.0,83.8,129.3
1917,1,FREDERICTON UNB,NB,-11.2,69.0,108.6
1917,1,MONCTON,NB,-10.1,19.1,48.9
